drift_uscg_2019_1.dat
19641701 054900 6  24   7   18  174.3042  -70.00351  41.21493 -1.0 21.7
19641701 054900 6  24   7   20  174.3056  -70.002304  41.215015 -1.0 18.4
19641701 054900 6  24   7   30  174.3125  -69.999374  41.215275 -1.0 16.5
19641701 054900 6  24   7   40  174.3194  -69.99637  41.215706 -1.0 16.3
19641701 054900 6  24   7   50  174.3264  -69.99396  41.215878 -1.0 16.2
19641701 054900 6  24   8   0  174.3333  -69.9925  41.21579 -1.0 16.1
19641701 054900 6  24   8   10  174.3403  -69.991295  41.21536 -1.0 16.1
19641701 054900 6  24   8   20  174.3472  -69.99043  41.214844 -1.0 16.0
19641701 054900 6  24   8   30  174.3542  -69.99009  41.213898 -1.0 16.0
19641701 054900 6  24   8   40  174.3611  -69.99017  41.21278 -1.0 16.0
19641701 054900 6  24   8   50  174.3681  -69.990776  41.21149 -1.0 16.0
19641701 054900 6  24   9   0  174.3750  -69.99198  41.21003 -1.0 16.0
19641701 054900 6  24   9   10  174.3819  -69.993706  41.20848 -1.0 15.9
19641701 054900 6  24   9   20  174.3889  -69.99611  41.206673 -1.0 15.9
19641701 054900 6  24   9   30  174.3958  -69.99886  41.20487 -1.0 15.9
19641701 054900 6  24   9   40  174.4028  -70.00239  41.202805 -1.0 16.0
19641701 054900 6  24   9   50  174.4097  -70.00669  41.20074 -1.0 15.9
19641701 054900 6  24   10   0  174.4167  -70.01167  41.19859 -1.0 15.9
19641701 054900 6  24   10   10  174.4236  -70.017784  41.196613 -1.0 15.9
19641701 054900 6  24   10   20  174.4306  -70.02449  41.19455 -1.0 16.0
19641701 054900 6  24   10   30  174.4375  -70.03094  41.193 -1.0 16.0
19641701 054900 6  24   10   40  174.4444  -70.03739  41.191624 -1.0 16.0
19641701 054900 6  24   10   50  174.4514  -70.044014  41.190594 -1.0 16.0
19641701 054900 6  24   11   0  174.4583  -70.04995  41.189648 -1.0 16.0
19641701 054900 6  24   11   10  174.4653  -70.05597  41.188786 -1.0 16.0
19641701 054900 6  24   11   20  174.4722  -70.06199  41.18801 -1.0 16.1
19641701 054900 6  24   11   30  174.4792  -70.067665  41.187325 -1.0 16.0
19641701 054900 6  24   11   40  174.4861  -70.07334  41.186638 -1.0 16.0
19641701 054900 6  24   11   50  174.4931  -70.078926  41.18612 -1.0 16.1
19641701 054900 6  24   12   0  174.5000  -70.08434  41.185863 -1.0 16.1
19641701 054900 6  24   12   10  174.5069  -70.08959  41.18569 -1.0 16.2
19641701 054900 6  24   12   20  174.5139  -70.09475  41.185516 -1.0 16.2
19641701 054900 6  24   12   30  174.5208  -70.10008  41.185345 -1.0 16.1
19641701 054900 6  24   12   40  174.5278  -70.105156  41.18526 -1.0 16.2
19641701 054900 6  24   12   50  174.5347  -70.11049  41.18526 -1.0 16.1
19641701 054900 6  24   13   0  174.5417  -70.11548  41.18526 -1.0 16.1
19641701 054900 6  24   13   10  174.5486  -70.12098  41.185345 -1.0 16.2
19641701 054900 6  24   13   20  174.5556  -70.1258  41.185432 -1.0 16.5
19641701 054900 6  24   13   30  174.5625  -70.13104  41.18569 -1.0 16.5
19641701 054900 6  24   13   40  174.5694  -70.13603  41.18612 -1.0 16.4
19641701 054900 6  24   13   50  174.5764  -70.14128  41.18672 -1.0 16.4
19641701 054900 6  24   14   0  174.5833  -70.14618  41.187496 -1.0 16.4
19641701 054900 6  24   14   10  174.5903  -70.15117  41.188526 -1.0 16.5
19641701 054900 6  24   14   20  174.5972  -70.15572  41.189472 -1.0 16.6
19641701 054900 6  24   14   30  174.6042  -70.16037  41.190765 -1.0 16.6
19641701 054900 6  24   14   40  174.6111  -70.16037  41.190765 -1.0 16.6
19641701 054900 6  24   14   50  174.6181  -70.16037  41.190765 -1.0 16.7
19641701 054900 6  24   15   0  174.6250  -70.16037  41.190765 -1.0 16.8
19641701 054900 6  24   15   10  174.6319  -70.16037  41.190765 -1.0 16.9
19641701 054900 6  24   15   20  174.6389  -70.16037  41.190765 -1.0 16.9
19641701 054900 6  24   15   30  174.6458  -70.16037  41.190765 -1.0 17.0
19641701 054900 6  24   15   40  174.6528  -70.16037  41.190765 -1.0 17.0
19641701 054900 6  24   15   50  174.6597  -70.16037  41.190765 -1.0 17.1
19641701 054900 6  24   16   0  174.6667  -70.16037  41.190765 -1.0 17.2
19641701 054900 6  24   16   10  174.6736  -70.16037  41.190765 -1.0 17.1
19641701 054900 6  24   16   20  174.6806  -70.16037  41.190765 -1.0 17.1
19641701 054900 6  24   16   30  174.6875  -70.16037  41.190765 -1.0 17.2
19641701 054900 6  24   16   40  174.6944  -70.16037  41.190765 -1.0 17.3
19641701 054900 6  24   16   50  174.7014  -70.16037  41.190765 -1.0 17.3
19641701 054900 6  24   17   0  174.7083  -70.16037  41.190765 -1.0 17.3
19641701 054900 6  24   17   10  174.7153  -70.16037  41.190765 -1.0 17.4
19641701 054900 6  24   17   20  174.7222  -70.16037  41.190765 -1.0 17.4
19641701 054900 6  24   17   30  174.7292  -70.16037  41.190765 -1.0 17.3
19641701 054900 6  24   17   40  174.7361  -70.16037  41.190765 -1.0 17.4
19641701 054900 6  24   17   50  174.7431  -70.16037  41.190765 -1.0 17.5
19641701 054900 6  24   18   0  174.7500  -70.16037  41.190765 -1.0 17.5
19641701 054900 6  24   18   10  174.7569  -70.16037  41.190765 -1.0 17.6
19641701 054900 6  24   18   20  174.7639  -70.16037  41.190765 -1.0 17.7
19641701 054900 6  24   18   30  174.7708  -70.16037  41.190765 -1.0 17.8
19641701 054900 6  24   18   40  174.7778  -70.16037  41.190765 -1.0 17.8
19641701 054900 6  24   18   50  174.7847  -70.16037  41.190765 -1.0 17.9
19641701 054900 6  24   19   0  174.7917  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   19   10  174.7986  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   19   20  174.8056  -70.16037  41.190765 -1.0 18.1
19641701 054900 6  24   19   30  174.8125  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   19   40  174.8194  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   19   50  174.8264  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   20   0  174.8333  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   20   10  174.8403  -70.16037  41.190765 -1.0 18.1
19641701 054900 6  24   20   20  174.8472  -70.16037  41.190765 -1.0 18.2
19641701 054900 6  24   20   30  174.8542  -70.16037  41.190765 -1.0 18.3
19641701 054900 6  24   20   40  174.8611  -70.16037  41.190765 -1.0 18.3
19641701 054900 6  24   20   50  174.8681  -70.16037  41.190765 -1.0 18.5
19641701 054900 6  24   21   0  174.8750  -70.16037  41.190765 -1.0 18.4
19641701 054900 6  24   21   10  174.8819  -70.16037  41.190765 -1.0 18.2
19641701 054900 6  24   21   20  174.8889  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   21   30  174.8958  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   21   40  174.9028  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   21   50  174.9097  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   22   0  174.9167  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   22   10  174.9236  -70.16037  41.190765 -1.0 17.9
19641701 054900 6  24   22   20  174.9306  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   22   30  174.9375  -70.16037  41.190765 -1.0 18.0
19641701 054900 6  24   22   40  174.9444  -70.16037  41.190765 -1.0 17.9
19641701 054900 6  24   22   50  174.9514  -70.16037  41.190765 -1.0 17.9
19641701 054900 6  24   23   0  174.9583  -70.16037  41.190765 -1.0 17.9
19641701 054900 6  24   23   10  174.9653  -70.16037  41.190765 -1.0 17.9
19641701 054900 6  24   23   20  174.9722  -70.16037  41.190765 -1.0 17.9
19641701 054900 6  24   23   30  174.9792  -70.16037  41.190765 -1.0 17.8
19641701 054900 6  24   23   40  174.9861  -70.16037  41.190765 -1.0 17.8
19641701 054900 6  24   23   50  174.9931  -70.16037  41.190765 -1.0 17.8
19641701 054900 6  25   0   0  175.0000  -70.16037  41.190765 -1.0 17.8
19641701 054900 6  25   0   10  175.0069  -70.16037  41.190765 -1.0 17.8
19641701 054900 6  25   0   20  175.0139  -70.16037  41.190765 -1.0 17.8
